train_no,date,station_code,station_name,delay
12314,2025-10-18,GAYA,GAYA JN,5.0
12314,2025-10-18,DHN,DHANBAD JN,0.0
12314,2025-10-18,ASN,ASANSOL JN,13.0
12314,2025-10-18,DGR,DURGAPUR,17.0
12314,2025-10-18,SDAH,SEALDAH,-7.0
12314,2025-10-19,NDLS,NEW DELHI,1.0
12314,2025-10-19,CNB,KANPUR CENTRAL,21.0
12314,2025-10-19,DDU,PT DEEN DAYAL UPADHYAY JN,9.0
12314,2025-10-19,GAYA,GAYA JN,22.0
12314,2025-10-19,DHN,DHANBAD JN,5.0
12314,2025-10-19,ASN,ASANSOL JN,13.0
12314,2025-10-19,DGR,DURGAPUR,21.0
12314,2025-10-19,SDAH,SEALDAH,-14.0
12314,2025-10-20,NDLS,NEW DELHI,0.0
12314,2025-10-20,CNB,KANPUR CENTRAL,29.0
12314,2025-10-20,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-10-20,GAYA,GAYA JN,2.0
12314,2025-10-20,DHN,DHANBAD JN,5.0
12314,2025-10-20,ASN,ASANSOL JN,15.0
12314,2025-10-20,DGR,DURGAPUR,22.0
12314,2025-10-20,SDAH,SEALDAH,3.0
12314,2025-10-21,NDLS,NEW DELHI,0.0
12314,2025-10-21,CNB,KANPUR CENTRAL,5.0
12314,2025-10-21,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-10-21,GAYA,GAYA JN,10.0
12314,2025-10-21,DHN,DHANBAD JN,3.0
12314,2025-10-21,ASN,ASANSOL JN,73.0
12314,2025-10-21,DGR,DURGAPUR,79.0
12314,2025-10-21,SDAH,SEALDAH,62.0
12314,2025-10-22,NDLS,NEW DELHI,1.0
12314,2025-10-22,CNB,KANPUR CENTRAL,14.0
12314,2025-10-22,DDU,PT DEEN DAYAL UPADHYAY JN,9.0
12314,2025-10-22,GAYA,GAYA JN,17.0
12314,2025-10-22,DHN,DHANBAD JN,1.0
12314,2025-10-22,ASN,ASANSOL JN,11.0
12314,2025-10-22,DGR,DURGAPUR,17.0
12314,2025-10-22,SDAH,SEALDAH,14.0
12314,2025-10-23,NDLS,NEW DELHI,0.0
12314,2025-10-23,CNB,KANPUR CENTRAL,23.0
12314,2025-10-23,DDU,PT DEEN DAYAL UPADHYAY JN,5.0
12314,2025-10-23,GAYA,GAYA JN,48.0
12314,2025-10-23,DHN,DHANBAD JN,30.0
12314,2025-10-23,ASN,ASANSOL JN,43.0
12314,2025-10-23,DGR,DURGAPUR,46.0
12314,2025-10-23,SDAH,SEALDAH,33.0
12314,2025-10-24,NDLS,NEW DELHI,0.0
